time	Pump C:Setpoint []
00:06:43.603	4.966
00:06:44.033	4.896
00:06:44.478	4.808
00:06:44.903	4.738
00:06:45.343	4.650
00:06:45.768	4.580
00:06:46.193	4.510
00:06:46.613	4.440
00:06:47.043	4.352
00:06:47.473	4.282
00:06:47.918	4.211
00:06:48.343	4.124
00:06:48.768	4.053
00:06:49.203	0.000
00:07:12.733	0.000
