time	Pump HP:Pressure [bar]
00:01:38.182	362.500
00:01:38.612	360.800
00:01:39.042	359.000
00:01:39.472	357.300
00:01:39.902	355.600
00:01:40.332	353.800
00:01:40.762	352.100
00:01:41.192	350.400
00:01:41.622	348.600
00:01:42.052	346.900
00:01:42.482	345.200
00:01:42.922	343.500
00:01:43.352	340.900
00:01:43.782	340.000
00:01:44.212	337.400
00:01:44.659	335.700
00:01:45.081	333.900
00:01:45.512	332.200
00:01:45.952	330.500
00:01:46.382	327.900
00:01:46.822	326.100
00:01:47.252	324.400
00:01:47.682	322.700
00:01:48.111	321.000
00:01:48.542	319.200
00:01:48.972	316.600
00:01:49.402	314.900
00:01:49.832	314.000
00:01:50.262	311.400
00:01:50.692	309.700
00:01:51.121	308.800
00:01:51.551	306.200
00:01:51.981	304.500
00:01:52.411	302.800
00:01:52.841	301.100
00:01:53.271	300.200
00:01:53.701	298.500
00:01:54.131	296.700
00:01:54.561	295.000
00:01:54.991	293.300
00:01:55.421	291.500
00:01:55.851	289.800
00:01:56.281	288.100
00:01:56.711	286.300
00:01:57.141	284.600
00:01:57.571	282.900
00:01:58.011	281.200
00:01:58.441	279.400
00:01:58.871	277.700
00:01:59.301	276.800
00:01:59.731	275.100
00:02:00.161	273.400
00:02:00.591	271.600
00:02:01.021	269.900
00:02:01.526	268.200
00:02:01.961	266.400
00:02:02.391	264.700
00:02:02.821	263.000
00:02:03.251	261.200
00:02:03.691	259.500
00:02:04.121	257.800
00:02:04.551	256.100
00:02:04.981	255.200
00:02:05.411	253.500
00:02:05.841	250.900
00:02:06.271	250.000
00:02:06.716	248.300
00:02:07.196	245.700
00:02:07.621	244.800
00:02:08.051	243.100
00:02:08.481	241.300
00:02:08.911	239.600
00:02:09.341	237.900
00:02:09.771	236.200
00:02:10.201	235.300
00:02:10.631	233.600
00:02:11.061	231.000
00:02:11.491	229.200
00:02:11.921	227.500
00:02:12.351	225.800
00:02:12.781	224.000
00:02:13.211	222.300
00:02:13.651	220.600
00:02:14.061	218.800
00:02:14.496	217.100
00:02:14.931	215.400
00:02:15.371	213.700
00:02:15.791	211.900
00:02:16.221	210.200
00:02:16.651	208.500
00:02:17.081	206.700
00:02:17.516	205.000
00:02:17.951	203.300
00:02:18.381	201.500
00:02:18.811	199.800
00:02:19.241	198.900
00:02:19.681	197.200
