time	Pump HP:Pump speed [µL/min]
00:04:05.022	1.958
00:04:05.452	2.039
00:04:05.882	1.995
00:04:06.312	2.039
00:04:06.742	1.976
00:04:07.172	1.968
00:04:07.602	2.063
00:04:08.032	1.998
00:04:08.462	2.050
00:04:08.902	2.065
00:04:09.332	2.062
00:04:09.762	2.034
00:04:10.192	2.008
00:04:10.622	2.093
00:04:11.052	1.978
00:04:11.493	2.043
00:04:11.922	2.066
00:04:12.352	2.055
00:04:12.782	1.968
00:04:13.212	1.958
00:04:13.672	2.037
00:04:14.102	1.998
00:04:14.532	2.059
00:04:14.962	2.039
00:04:15.392	1.960
00:04:15.822	2.044
00:04:16.252	2.038
00:04:16.682	2.045
00:04:17.112	2.016
00:04:17.542	2.070
00:04:17.982	2.147
00:04:18.412	1.984
00:04:18.842	2.076
00:04:19.272	2.079
00:04:19.702	2.058
00:04:20.132	2.015
00:04:20.562	1.898
00:04:20.992	1.968
00:04:21.422	1.819
00:04:21.862	1.963
00:04:22.292	2.012
00:04:22.722	2.108
00:04:23.152	2.019
00:04:23.582	2.050
00:04:24.012	2.094
00:04:24.442	1.956
00:04:24.872	2.028
00:04:25.302	2.086
00:04:25.732	1.980
00:04:26.162	2.069
00:04:26.592	1.991
00:04:27.022	2.072
00:04:27.452	2.035
00:04:27.872	1.975
00:04:28.302	2.073
00:04:28.736	1.963
00:04:29.162	2.088
00:04:29.592	1.996
00:04:30.022	2.027
00:04:30.452	2.017
00:04:30.881	2.034
00:04:31.312	2.025
00:04:31.742	1.950
00:04:32.172	2.004
00:04:32.602	2.001
00:04:33.032	2.021
00:04:33.462	1.901
00:04:33.891	1.910
00:04:34.332	2.087
00:04:34.762	1.889
00:04:35.192	2.098
00:04:35.622	2.034
00:04:36.051	2.055
00:04:36.481	2.034
00:04:36.911	1.974
00:04:37.341	2.035
00:04:37.771	1.894
00:04:38.201	2.031
00:04:38.631	1.990
00:04:39.051	1.950
00:04:39.481	1.871
00:04:39.911	1.927
00:04:40.341	2.037
00:04:40.771	1.874
00:04:41.201	2.013
00:04:41.631	1.958
00:04:42.061	2.045
00:04:42.491	1.969
00:04:42.921	1.946
00:04:43.351	2.005
00:04:43.781	1.942
00:04:44.211	1.931
00:04:44.641	1.984
00:04:45.071	2.084
00:04:45.511	1.949
00:04:45.931	2.013
00:04:46.381	2.067
00:04:46.831	1.897
00:04:47.251	1.965
00:04:47.731	2.025
00:04:48.216	2.032
00:04:48.661	2.017
00:04:49.091	1.947
00:04:49.521	2.007
00:04:49.941	1.904
00:04:50.361	2.022
00:04:50.781	2.045
00:04:51.201	1.972
00:04:51.621	1.982
00:04:52.041	1.978
00:04:52.471	2.071
00:04:52.891	1.930
00:04:53.311	2.043
00:04:53.731	1.966
00:04:54.151	2.062
00:04:54.571	1.901
00:04:54.991	1.929
00:04:55.421	2.050
00:04:55.841	1.951
00:04:56.271	1.963
00:04:56.691	1.975
00:04:57.111	2.068
00:04:57.531	1.939
00:04:57.951	1.999
00:04:58.371	2.013
00:04:58.791	1.911
00:04:59.211	1.984
00:04:59.631	1.937
00:05:00.051	2.008
00:05:00.471	1.888
00:05:00.891	2.031
00:05:01.311	2.030
00:05:01.731	2.002
00:05:02.151	1.931
00:05:02.581	1.978
00:05:03.001	2.003
00:05:03.421	1.926
00:05:03.841	1.992
00:05:04.266	2.000
00:05:04.701	2.028
00:05:05.121	1.939
00:05:05.541	1.967
00:05:05.961	2.040
00:05:06.380	1.968
00:05:06.801	1.982
00:05:07.221	2.033
00:05:07.651	2.024
00:05:08.071	1.952
00:05:08.501	1.954
00:05:08.921	2.033
00:05:09.340	1.952
00:05:09.760	2.055
00:05:10.180	2.112
00:05:10.600	2.063
00:05:11.020	1.994
00:05:11.440	2.044
00:05:11.860	2.016
00:05:12.280	1.962
00:05:12.700	1.942
00:05:13.120	1.896
00:05:13.540	1.967
00:05:13.960	1.824
00:05:14.380	1.980
00:05:14.800	1.973
00:05:15.220	2.063
00:05:15.640	2.077
00:05:16.060	2.048
00:05:16.490	2.067
00:05:16.910	1.946
00:05:17.330	2.080
00:05:17.750	2.089
00:05:18.170	1.996
00:05:18.590	1.977
00:05:19.010	2.025
00:05:19.430	2.096
00:05:19.850	1.908
00:05:20.270	2.038
00:05:20.690	2.001
00:05:21.110	2.012
00:05:21.530	1.936
00:05:21.960	2.047
00:05:22.380	2.092
00:05:22.800	1.983
00:05:23.220	2.071
00:05:23.640	1.956
00:05:24.060	1.981
00:05:24.480	1.901
00:05:24.900	2.004
00:05:25.320	2.025
00:05:25.740	1.984
00:05:26.160	1.977
00:05:26.580	2.053
00:05:27.000	2.029
00:05:27.420	1.745
00:05:27.840	1.838
00:05:28.260	1.792
00:05:28.680	1.890
00:05:29.100	1.942
00:05:29.520	2.068
00:05:29.940	2.099
00:05:30.360	2.056
00:05:30.780	1.985
00:05:31.200	1.933
00:05:31.620	2.026
00:05:32.040	1.859
00:05:32.460	1.981
00:05:32.880	1.998
00:05:33.300	2.029
00:05:33.720	1.937
00:05:34.140	1.998
00:05:34.560	1.968
00:05:34.980	1.774
00:05:35.400	1.977
00:05:35.820	1.949
00:05:36.240	2.037
00:05:36.660	1.883
00:05:37.080	1.923
00:05:37.500	1.960
00:05:37.920	1.943
00:05:38.340	1.850
00:05:38.770	1.936
00:05:39.189	2.027
00:05:39.610	1.908
00:05:40.030	1.981
00:05:40.450	1.964
00:05:40.870	1.988
00:05:41.290	1.891
00:05:41.709	1.984
00:05:42.139	2.010
00:05:42.560	2.033
00:05:42.989	2.019
00:05:43.409	1.961
00:05:43.829	2.012
00:05:44.249	1.961
00:05:44.669	2.041
00:05:45.089	2.045
00:05:45.509	2.029
00:05:45.929	1.973
00:05:46.349	1.948
00:05:46.769	2.039
00:05:47.199	1.936
00:05:47.619	1.974
00:05:48.039	1.989
00:05:48.459	2.005
00:05:48.879	1.998
00:05:49.299	1.930
00:05:49.719	2.000
00:05:50.139	2.009
00:05:50.559	1.945
00:05:50.979	1.956
00:05:51.399	2.046
00:05:51.819	1.914
00:05:52.239	2.009
00:05:52.659	1.997
00:05:53.079	2.048
00:05:53.499	1.989
00:05:53.919	2.037
00:05:54.339	2.096
00:05:54.759	1.992
00:05:55.179	2.051
00:05:55.599	1.988
00:05:56.020	2.001
00:05:56.439	1.879
00:05:56.859	1.967
00:05:57.279	2.006
00:05:57.699	1.885
00:05:58.129	1.946
00:05:58.549	1.951
00:05:58.969	2.084
00:05:59.389	1.863
00:05:59.809	2.061
00:06:00.229	2.128
00:06:00.649	2.097
00:06:01.079	2.071
00:06:01.499	2.063
00:06:01.919	2.085
00:06:02.339	1.945
00:06:02.759	1.956
00:06:03.179	1.953
00:06:03.599	1.976
00:06:04.019	1.914
00:06:04.439	1.913
00:06:04.859	2.014
00:06:05.279	2.028
00:06:05.699	2.075
00:06:06.119	2.063
00:06:06.539	2.057
00:06:06.959	1.903
00:06:07.389	1.914
00:06:07.809	2.014
00:06:08.239	1.949
00:06:08.659	2.015
00:06:09.079	1.909
00:06:09.499	2.057
00:06:09.919	1.940
00:06:10.339	1.987
00:06:10.759	2.094
00:06:11.183	2.013
00:06:11.609	2.069
00:06:12.029	2.012
00:06:12.449	2.019
00:06:12.869	1.908
00:06:13.288	2.006
00:06:13.709	2.039
00:06:14.129	2.060
00:06:14.549	2.012
00:06:14.969	1.990
00:06:15.389	2.104
00:06:15.809	1.864
00:06:16.228	2.036
00:06:16.649	2.007
00:06:17.069	1.995
00:06:17.489	1.896
00:06:17.908	1.966
00:06:18.328	2.025
00:06:18.748	1.964
00:06:19.169	2.008
00:06:19.588	2.034
00:06:20.008	2.030
00:06:20.428	1.861
00:06:20.848	1.981
00:06:21.268	1.991
00:06:21.688	2.014
00:06:22.108	2.006
00:06:22.528	2.045
00:06:22.948	2.060
00:06:23.368	1.898
00:06:23.788	1.945
00:06:24.208	1.993
00:06:24.628	2.032
00:06:25.048	1.887
00:06:25.468	1.970
00:06:25.888	2.038
00:06:26.308	1.897
00:06:26.728	2.003
00:06:27.148	1.958
00:06:27.568	2.018
00:06:27.988	1.882
00:06:28.408	1.986
00:06:28.828	1.958
00:06:29.248	1.999
00:06:29.668	2.035
00:06:30.088	1.961
00:06:30.508	2.058
00:06:30.928	1.944
00:06:31.348	1.927
00:06:31.778	1.903
00:06:32.198	1.968
00:06:32.618	1.946
00:06:33.038	1.973
00:06:33.458	1.957
00:06:33.878	1.945
00:06:34.298	1.949
00:06:34.718	1.920
00:06:35.138	2.013
00:06:35.558	1.801
00:06:35.978	1.944
00:06:36.398	2.042
00:06:36.818	2.011
00:06:37.238	1.948
00:06:37.678	1.940
00:06:38.098	1.922
00:06:38.518	1.890
00:06:38.938	1.899
00:06:39.358	1.906
00:06:39.778	2.037
00:06:40.198	1.772
00:06:40.618	1.887
00:06:41.038	1.893
00:06:41.458	1.950
00:06:41.878	1.818
00:06:42.298	1.952
00:06:42.718	1.974
00:06:43.138	1.987
00:06:43.558	1.828
00:06:43.978	1.965
00:06:44.398	1.947
00:06:44.818	2.495
00:06:45.238	3.355
00:06:45.677	3.847
00:06:46.087	4.200
00:06:46.508	4.494
00:06:46.928	4.966
00:06:47.348	5.305
00:06:47.767	5.620
00:06:48.188	5.836
00:06:48.608	6.112
00:06:49.028	6.397
00:06:49.447	6.621
00:06:49.868	6.857
00:06:50.288	6.929
00:06:50.717	7.124
00:06:51.137	7.507
00:06:51.558	7.604
00:06:51.977	7.586
00:06:52.397	7.879
00:06:52.827	7.705
00:06:53.247	7.979
00:06:53.677	7.948
00:06:54.087	8.171
00:06:54.507	8.037
00:06:54.937	8.416
00:06:55.357	8.609
00:06:55.797	8.439
00:06:56.197	8.559
00:06:56.617	8.548
00:06:57.037	8.800
00:06:57.457	8.949
00:06:57.877	8.727
00:06:58.297	8.733
00:06:58.717	9.055
00:06:59.137	9.168
00:06:59.557	9.011
00:06:59.977	9.065
00:07:00.397	9.058
00:07:00.817	9.057
00:07:01.247	9.073
00:07:01.667	9.073
00:07:02.087	9.314
00:07:02.507	9.095
00:07:02.927	9.366
00:07:03.347	9.399
00:07:03.767	9.438
00:07:04.187	9.565
00:07:04.607	9.311
00:07:05.027	8.652
00:07:05.447	7.708
00:07:05.867	7.361
00:07:06.287	7.194
00:07:06.707	6.857
00:07:07.127	6.718
00:07:07.547	6.108
00:07:07.977	6.189
00:07:08.397	5.425
00:07:08.817	5.653
00:07:09.237	5.725
00:07:09.667	5.189
00:07:10.087	5.251
00:07:10.507	5.169
00:07:10.927	4.679
00:07:11.347	5.094
00:07:11.767	4.493
00:07:12.187	4.514
00:07:12.607	4.708
00:07:13.027	4.517
00:07:13.447	4.297
00:07:13.867	4.136
00:07:14.287	4.047
00:07:14.707	4.288
00:07:15.127	4.043
00:07:15.547	4.046
00:07:15.977	3.876
00:07:16.407	3.821
00:07:16.877	0.000
