time	Pump A:Actual flow [µL/min]
00:03:17.764	-0.006
00:03:18.624	-0.002
00:03:19.054	0.002
00:03:19.484	-0.002
00:03:19.924	0.002
00:03:20.354	-0.002
00:03:21.644	0.002
00:03:22.514	-0.002
00:03:22.943	0.002
00:03:23.804	0.009
00:03:24.234	0.002
00:03:24.664	0.006
00:03:25.534	-0.002
00:03:25.963	0.002
00:03:26.824	-0.006
00:03:27.253	-0.010
00:03:27.683	0.006
00:03:28.113	0.002
00:03:28.543	-0.002
00:03:28.973	0.002
00:03:29.403	0.009
00:03:29.833	0.006
00:03:30.703	-0.002
00:03:31.563	0.002
00:03:31.993	0.006
00:03:32.424	-0.002
00:03:32.853	0.002
00:03:33.723	-0.002
00:03:34.153	0.002
00:03:34.583	0.006
00:03:35.873	-0.010
00:03:36.303	0.002
00:03:36.733	0.013
00:03:37.163	-0.002
00:03:37.593	-0.010
00:03:38.023	-0.002
00:03:38.453	0.002
00:03:39.313	-0.002
00:03:39.743	0.002
00:03:40.183	0.006
00:03:40.613	-0.002
00:03:41.043	0.006
00:03:41.473	0.002
00:03:41.903	-0.002
00:03:42.333	-0.006
00:03:43.193	-0.002
00:03:43.623	0.013
00:03:44.053	0.006
00:03:46.115	0.006
00:03:46.213	0.002
00:03:46.643	0.006
00:03:47.073	0.002
00:03:47.503	-0.002
00:03:47.933	0.009
00:03:48.363	-0.006
00:03:48.793	-0.002
00:03:49.223	0.006
00:03:50.083	-0.002
00:03:51.185	-0.002
00:03:51.813	-0.006
00:03:52.673	0.017
00:03:53.103	0.009
00:03:53.533	0.002
00:03:54.833	0.006
00:03:55.703	0.002
00:03:56.133	-0.002
00:03:56.563	0.002
00:03:57.423	0.006
00:03:57.853	0.002
00:03:58.283	-0.006
00:03:58.713	0.006
00:03:59.143	-0.002
00:03:59.573	0.006
00:04:00.003	0.002
00:04:00.442	-0.002
00:04:01.732	-0.006
00:04:02.162	0.002
00:04:03.022	-0.006
00:04:03.452	0.009
00:04:03.882	-0.002
00:04:04.312	-0.006
00:04:05.172	0.006
00:04:05.602	-0.002
00:04:06.032	0.002
00:04:06.462	-0.002
00:04:06.892	-0.006
00:04:07.322	0.006
00:04:07.752	0.009
00:04:08.182	-0.002
00:04:08.622	0.002
00:04:09.052	-0.006
00:04:09.482	-0.002
00:04:09.912	0.006
00:04:10.342	-0.002
00:04:10.772	0.017
00:04:11.202	0.002
00:04:11.642	-0.006
00:04:12.072	0.006
00:04:13.494	0.006
00:04:14.252	-0.006
00:04:14.682	-0.010
00:04:15.112	-0.002
00:04:15.542	-0.006
00:04:15.972	0.002
00:04:16.832	-0.006
00:04:17.262	0.006
00:04:17.702	0.002
00:04:18.132	-0.013
00:04:18.562	-0.010
00:04:18.992	0.006
00:04:19.422	0.002
00:04:19.852	-0.006
00:04:20.712	0.013
00:04:21.142	-0.006
00:04:21.572	0.013
00:04:22.012	-0.006
00:04:22.442	0.002
00:04:22.872	-0.010
00:04:23.302	0.002
00:04:23.732	0.013
00:04:24.162	0.009
00:04:24.592	-0.006
00:04:25.022	-0.002
00:04:25.882	0.002
00:04:26.312	0.013
00:04:26.742	-0.002
00:04:27.592	0.002
00:04:28.022	-0.006
00:04:28.452	-0.002
00:04:28.882	0.002
00:04:29.742	0.006
00:04:30.172	0.002
00:04:31.032	0.006
00:04:31.891	-0.010
00:04:32.322	0.006
00:04:32.752	-0.002
00:04:33.182	0.006
00:04:33.612	-0.010
00:04:34.051	-0.002
00:04:34.482	0.002
00:04:34.911	0.006
00:04:35.341	0.002
00:04:35.772	0.006
00:04:36.201	-0.010
00:04:36.631	0.002
00:04:37.061	0.009
00:04:37.491	-0.006
00:04:37.921	-0.002
00:04:38.351	0.002
00:04:39.631	-0.006
00:04:40.061	0.009
00:04:40.491	0.002
00:04:40.911	0.006
00:04:41.351	0.002
00:04:41.781	0.006
00:04:42.211	0.002
00:04:42.641	-0.006
00:04:43.071	0.002
00:04:44.361	-0.002
00:04:44.764	0.002
00:04:45.651	0.006
00:04:46.076	-0.002
00:04:46.511	0.002
00:04:46.961	-0.010
00:04:47.401	0.006
00:04:47.881	0.009
00:04:48.361	0.002
00:04:48.801	0.006
00:04:49.241	0.457
00:04:49.661	2.460
00:04:50.081	4.283
00:04:50.501	6.212
00:04:50.921	7.953
00:04:51.341	9.853
00:04:51.761	11.231
00:04:52.191	12.704
00:04:52.611	14.111
00:04:53.031	15.480
00:04:53.451	16.909
00:04:53.871	18.457
00:04:54.291	18.919
00:04:54.711	18.465
00:04:55.141	18.075
00:04:55.561	17.721
00:04:55.981	17.356
00:04:56.411	17.288
00:04:56.831	17.335
00:04:57.251	17.382
00:04:57.671	17.342
00:04:58.091	17.356
00:04:58.511	17.241
00:04:58.931	17.068
00:04:59.351	16.949
00:04:59.771	16.811
00:05:00.191	16.703
00:05:00.611	16.548
00:05:01.031	16.479
00:05:01.451	16.338
00:05:01.871	16.292
00:05:02.301	16.158
00:05:02.721	16.230
00:05:03.141	16.259
00:05:03.561	16.154
00:05:03.981	16.079
00:05:04.421	15.889
00:05:04.841	15.626
00:05:05.265	15.498
