time	Pump C:Pump speed [µL/min]
00:01:22.907	20.197
00:01:23.347	18.964
00:01:23.807	20.938
00:01:24.242	21.670
00:01:24.707	20.172
00:01:25.177	18.928
00:01:25.627	18.490
00:01:26.097	20.133
00:01:26.557	20.946
00:01:27.017	19.199
00:01:27.477	18.820
00:01:27.947	18.599
00:01:28.397	20.372
00:01:28.847	20.414
00:01:29.302	20.206
00:01:29.767	18.438
00:01:30.237	18.586
00:01:30.707	21.286
00:01:31.177	20.056
00:01:31.647	18.289
00:01:32.107	18.915
00:01:32.547	19.758
00:01:33.017	21.254
00:01:33.477	20.098
00:01:33.947	19.480
00:01:34.412	18.798
00:01:34.877	21.021
00:01:35.352	20.811
00:01:35.817	19.164
00:01:36.287	19.752
00:01:36.747	20.441
00:01:37.217	21.383
00:01:37.687	19.538
00:01:38.157	19.348
00:01:38.627	21.545
00:01:39.087	20.814
00:01:39.547	20.656
00:01:40.017	18.880
00:01:40.481	20.533
00:01:40.947	20.996
00:01:41.429	19.267
00:01:41.877	18.984
00:01:42.347	19.405
00:01:42.817	21.171
00:01:43.287	20.117
00:01:43.757	18.581
00:01:44.227	19.745
00:01:44.697	21.166
00:01:45.166	19.371
00:01:45.621	19.245
00:01:46.051	18.521
00:01:46.486	18.935
00:01:46.956	20.877
00:01:47.427	20.702
00:01:47.897	19.516
00:01:48.366	19.908
00:01:48.836	21.628
00:01:49.306	21.524
00:01:49.776	19.524
00:01:50.246	19.185
00:01:50.716	21.394
00:01:51.186	20.342
00:01:51.651	19.022
00:01:52.116	20.246
00:01:52.586	20.732
00:01:53.056	21.003
00:01:53.526	19.289
00:01:53.996	19.098
00:01:54.466	21.201
00:01:54.936	20.113
00:01:55.406	18.982
00:01:55.876	19.743
00:01:56.346	20.859
00:01:56.816	21.627
00:01:57.286	18.538
00:01:57.756	18.929
00:01:58.226	20.992
00:01:58.696	20.633
00:01:59.166	18.896
00:01:59.636	19.507
00:02:00.106	19.656
00:02:00.576	21.092
00:02:01.046	19.608
00:02:01.516	18.922
00:02:01.986	20.448
00:02:02.456	21.341
00:02:02.926	19.698
00:02:03.396	19.080
00:02:03.866	19.684
00:02:04.336	21.414
00:02:04.806	19.870
00:02:05.276	19.548
00:02:05.746	21.563
00:02:06.276	0.000
00:02:11.815	0.000
00:02:11.906	-200.000
00:02:32.095	-200.000
00:02:32.555	0.000
00:04:44.924	0.000
00:04:45.354	60.000
00:04:46.954	60.000
00:04:47.571	0.000
00:04:48.941	5.734
00:04:49.381	8.625
00:04:49.801	11.868
00:04:50.221	13.441
00:04:50.641	15.073
00:04:51.064	16.821
00:04:51.481	17.758
00:04:51.901	17.167
00:04:52.331	18.586
00:04:52.751	19.751
00:04:53.171	22.449
00:04:53.591	20.399
00:04:54.011	18.462
00:04:54.431	17.211
00:04:54.851	16.593
00:04:55.281	16.538
00:04:55.701	16.736
00:04:56.126	15.719
00:04:56.551	17.234
00:04:56.971	17.665
00:04:57.391	17.312
00:04:57.811	16.853
00:04:58.231	16.877
00:04:58.651	16.923
00:04:59.071	17.152
00:04:59.491	17.163
00:04:59.911	17.829
00:05:00.331	17.735
00:05:00.751	18.697
00:05:01.171	18.505
00:05:01.591	18.899
00:05:02.011	19.421
00:05:02.441	17.712
00:05:02.861	19.207
00:05:03.281	20.215
00:05:03.701	20.352
00:05:04.121	20.025
00:05:04.561	19.986
00:05:04.981	19.727
00:05:05.401	18.620
00:05:05.821	18.775
00:05:06.240	18.416
00:05:06.661	18.128
00:05:07.081	18.646
00:05:07.511	17.801
00:05:07.931	18.426
00:05:08.351	18.303
00:05:08.780	18.690
00:05:09.201	20.340
00:05:09.621	20.199
00:05:10.040	20.114
00:05:10.460	19.886
00:05:10.880	20.236
00:05:11.300	19.128
00:05:11.720	19.276
00:05:12.140	18.938
00:05:12.560	19.000
00:05:12.980	19.761
00:05:13.400	18.311
00:05:13.820	17.698
00:05:14.240	18.176
00:05:14.660	18.382
00:05:15.080	20.086
00:05:15.500	21.489
00:05:15.920	21.057
00:05:16.340	20.926
00:05:16.770	20.675
00:05:17.190	20.202
00:05:17.610	18.977
00:05:18.030	18.768
00:05:18.450	19.077
00:05:18.870	19.211
00:05:19.290	21.055
00:05:19.710	21.041
00:05:20.130	21.304
00:05:20.550	20.948
00:05:20.970	19.651
00:05:21.390	19.283
00:05:21.820	19.124
00:05:22.240	19.129
00:05:22.660	19.484
00:05:23.080	20.980
00:05:23.500	21.327
00:05:23.920	21.380
00:05:24.340	20.928
00:05:24.760	19.559
00:05:25.180	18.472
00:05:25.600	18.424
00:05:26.020	18.147
00:05:26.440	17.940
00:05:26.860	17.882
00:05:27.280	18.029
00:05:27.700	17.804
00:05:28.120	19.428
00:05:28.540	19.413
00:05:28.960	19.312
00:05:29.380	19.404
00:05:29.800	19.437
00:05:30.220	19.588
00:05:30.640	19.735
00:05:31.060	19.688
00:05:31.480	19.767
00:05:31.900	18.754
00:05:32.320	18.916
