time	Pump C:Pressure [bar]
00:03:41.613	-0.800
00:03:42.043	0.000
00:03:44.085	0.000
00:03:44.193	-0.800
00:03:44.633	0.000
00:03:45.063	-0.800
00:03:45.493	0.000
00:03:51.185	0.000
00:03:51.953	-0.800
00:03:52.383	0.000
00:03:54.103	-0.800
00:03:54.973	0.000
00:03:55.413	-0.800
00:03:55.843	0.000
00:04:07.405	0.000
00:04:07.892	-0.800
00:04:08.322	0.000
00:04:13.495	0.000
00:04:13.962	-0.800
00:04:14.392	0.000
00:04:14.822	-0.800
00:04:15.252	0.000
00:04:15.682	-0.800
00:04:16.112	0.000
00:04:19.574	0.000
00:04:19.992	-0.800
00:04:20.422	0.000
00:04:38.844	0.000
00:04:38.911	-0.800
00:04:39.341	0.000
00:04:41.884	0.000
00:04:41.921	-0.800
00:04:42.351	0.000
00:04:44.924	0.000
00:04:45.773	-0.800
00:04:46.203	0.000
00:04:46.634	-0.800
00:04:47.964	-0.800
00:04:48.526	0.000
00:04:49.381	0.900
00:04:50.221	1.700
00:04:50.641	2.600
00:04:51.064	3.500
00:04:51.481	4.300
00:04:52.331	5.200
00:04:52.751	6.100
00:04:53.591	6.900
00:05:05.203	6.900
00:05:05.821	7.800
00:05:06.240	6.900
00:05:07.081	7.800
00:05:07.511	6.900
00:05:09.201	7.800
00:05:09.621	6.900
00:05:11.293	6.900
00:05:11.300	7.800
00:05:12.560	6.900
00:05:13.400	7.800
00:05:15.343	7.800
00:05:15.500	6.900
00:05:15.920	7.800
00:05:27.513	7.800
00:05:28.120	6.900
00:05:42.723	6.900
00:05:42.839	6.100
00:05:54.892	6.100
00:05:55.879	5.200
00:06:00.972	5.200
00:06:01.359	4.300
00:06:01.779	5.200
00:06:05.032	5.200
00:06:05.559	4.300
00:06:05.979	5.200
00:06:06.819	4.300
00:06:16.182	4.300
00:06:16.929	3.500
00:06:17.348	4.300
00:06:18.188	3.500
00:06:19.222	3.500
00:06:19.869	4.300
00:06:20.288	3.500
00:06:29.362	3.500
00:06:29.528	2.600
00:06:31.391	2.600
00:06:31.638	3.500
00:06:32.058	2.600
00:06:39.501	2.600
00:06:40.058	1.700
00:06:40.898	2.600
00:06:41.318	1.700
00:06:42.158	2.600
00:06:42.578	1.700
00:06:43.418	2.600
00:06:43.838	1.700
00:06:52.691	1.700
00:06:53.107	0.900
00:06:53.527	1.700
00:06:53.947	0.000
00:06:55.217	-0.800
00:06:55.637	0.000
00:06:56.477	-0.800
00:06:56.897	0.000
00:07:01.811	0.000
00:07:02.787	-0.800
00:07:03.207	0.000
00:07:04.851	0.000
00:07:04.887	-0.800
00:07:05.727	0.000
00:07:10.941	0.000
00:07:11.207	-0.800
00:07:11.627	0.000
00:07:17.277	0.000
