time	Pump C:Actual flow [µL/min]
00:06:04.299	12.665
00:06:04.719	12.744
00:06:05.139	12.569
00:06:05.559	12.304
00:06:05.979	12.522
00:06:06.399	12.279
00:06:06.819	12.072
00:06:07.249	12.272
00:06:07.669	12.036
00:06:08.100	11.940
00:06:08.519	11.993
00:06:08.939	11.875
00:06:09.359	11.772
00:06:09.779	11.854
00:06:10.199	11.611
00:06:10.619	11.522
00:06:11.039	11.582
00:06:11.469	11.261
00:06:11.889	11.382
00:06:12.309	11.329
00:06:12.729	11.064
00:06:13.149	11.257
00:06:13.569	10.932
00:06:13.989	10.939
00:06:14.409	11.007
00:06:14.829	10.686
00:06:15.248	10.861
00:06:15.669	10.560
00:06:16.089	10.661
00:06:16.509	10.525
00:06:16.928	10.342
00:06:17.348	10.543
00:06:17.769	10.225
00:06:18.188	10.396
00:06:18.608	10.078
00:06:19.028	10.128
00:06:19.448	10.049
00:06:19.868	10.010
00:06:20.288	9.981
00:06:20.708	9.787
00:06:21.128	9.747
00:06:21.548	9.538
00:06:21.968	9.661
00:06:22.388	9.423
00:06:22.808	9.527
00:06:23.228	9.235
00:06:23.648	9.383
00:06:24.068	9.066
00:06:24.488	9.181
00:06:24.908	8.979
00:06:25.328	9.141
00:06:25.748	8.792
00:06:26.168	8.853
00:06:26.588	8.795
00:06:27.008	8.857
00:06:27.428	8.651
00:06:27.848	8.482
00:06:28.268	8.493
00:06:28.688	8.309
00:06:29.108	8.420
00:06:29.528	8.128
00:06:29.948	8.269
00:06:30.368	7.981
00:06:30.788	8.143
00:06:31.208	7.973
00:06:31.638	7.844
00:06:32.058	7.880
00:06:32.478	7.591
00:06:32.898	7.750
00:06:33.318	7.577
00:06:33.738	7.458
00:06:34.158	7.494
00:06:34.578	7.220
00:06:34.998	7.371
00:06:35.418	7.260
00:06:35.838	7.090
00:06:36.258	7.148
00:06:36.678	6.935
00:06:37.098	6.917
00:06:37.525	6.921
00:06:37.958	6.625
00:06:38.378	6.740
00:06:38.798	6.722
00:06:39.218	6.427
00:06:39.638	6.524
00:06:40.058	6.463
00:06:40.478	6.196
00:06:40.898	6.304
00:06:41.318	6.228
00:06:41.738	6.001
00:06:42.158	6.099
00:06:42.578	6.048
00:06:42.998	5.784
00:06:43.418	5.813
00:06:43.838	5.802
00:06:44.258	5.614
00:06:44.678	5.537
00:06:45.098	5.607
00:06:45.518	5.466
00:06:45.947	5.219
00:06:46.367	5.334
00:06:46.788	5.304
00:06:47.208	5.142
00:06:47.628	5.016
00:06:48.047	5.072
00:06:48.468	4.980
00:06:48.888	4.789
00:06:49.308	4.709
00:06:49.727	4.786
00:06:50.147	4.716
00:06:50.568	4.518
00:06:50.998	4.398
00:06:51.418	4.463
00:06:51.837	4.390
00:06:52.257	4.251
00:06:52.677	4.042
00:06:53.107	4.127
00:06:53.527	4.116
00:06:53.947	0.474
00:06:54.367	0.080
00:06:54.797	0.017
00:06:55.217	0.013
00:06:55.637	0.002
00:06:56.477	-0.005
00:06:57.317	0.006
00:06:57.737	-0.005
00:06:58.577	-0.002
00:06:59.418	-0.005
00:07:00.257	0.002
00:07:00.677	0.010
00:07:01.107	-0.005
00:07:01.947	0.013
00:07:02.367	-0.002
00:07:02.787	0.006
00:07:03.207	0.002
00:07:04.047	-0.009
00:07:04.467	0.002
00:07:04.887	-0.009
00:07:05.307	-0.005
00:07:05.727	-0.002
00:07:06.147	-0.005
00:07:06.567	0.010
00:07:06.987	0.002
00:07:07.407	-0.005
00:07:07.827	0.002
00:07:08.257	-0.009
00:07:08.677	0.002
00:07:09.097	-0.009
00:07:09.517	0.010
00:07:09.947	0.006
00:07:10.787	0.010
00:07:11.207	-0.002
00:07:11.627	0.006
00:07:12.047	-0.005
00:07:12.467	-0.002
00:07:12.887	0.006
00:07:13.727	-0.005
00:07:14.147	-0.009
00:07:14.567	-0.002
00:07:14.987	0.006
00:07:15.407	0.002
00:07:15.837	0.006
00:07:16.267	-0.002
